,,,,,,,,,,,,,,,,,,,,,,,,,Move samples,,,,,,,,,,
Activity,StartTime [ISO8601],Duration [s],Calories,Distance [m],HrAvg,Latitude,Longitude,SpeedAvg [km/h],TE,AscentAltitude,AscentTime,DescentAltitude,DescentTime,FlatTime,HighAltitude,LowAltitude,HrMin,HrPeak,SpeedMax,TemperatureAvg,TemperatureMax,TemperatureMin,SampleInterval,Device,LocalTime,Altitude,Distance,EnergyConsumption,HeartRate,SeaLevelPressure,Speed,Temperature,VerticalSpeed,,IBI
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:31,1635,399,16.2,149,1015,2.6,29.2,0,,424
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:32,1635,399,16.2,150,1015,2.6,29.2,0,,430
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:33,1635,399,16.2,151,1015,2.6,29.2,0,,427
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:34,1635,399,16.5,150,1015,2.6,29.2,0,,429
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:35,1635,399,16.5,151,1015,2.5,29.2,0,,423
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:36,1635,399,16.5,151,1015,2.5,29.2,0,,421
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:37,1635,399,16.5,152,1015,2.5,29.2,0,,423
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:38,1635,399,16.5,152,1015,2.5,29.2,0,,425
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:39,1635,399,16.5,152,1015,2.5,29.2,0,,419
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:40,1635,420,16.5,152,1015,2.5,29.2,0,,421
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:41,1635,420,16.5,152,1015,2.5,29.2,0,,421
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:42,1635,420,16.5,152,1015,2.5,29.2,0,,419
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:43,1635,420,16.5,152,1015,2.5,29.2,0,,416
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:44,1635,420,16.8,151,1015,2.5,29.2,0,,422
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:45,1635,420,16.8,151,1015,2.5,29.2,0,,422
